Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. FALCON,MP. FALCON,PQ. ADAURE,ESCUELA BASICA ADAURE NORTE,N/A,190,172,172,168,4,N/A,1,1,0,0,0,29,138
EDO. FALCON,MP. FALCON,PQ. EL VINCULO,ESCUELA BASICA BOLIVARIANA CONSUELO NAVAS,N/A,1654,1273,1273,1229,44,N/A,3,1,0,0,6,541,681
EDO. FALCON,MP. FALCON,PQ. EL VINCULO,ESCUELA BASICA LAS CARMELITAS,N/A,302,247,247,240,7,N/A,1,0,0,0,0,11,229
EDO. FALCON,MP. FALCON,PQ. EL VINCULO,ESCUELA ESTADAL LAS CUMARAGUAS,N/A,506,410,410,406,4,N/A,1,0,0,3,1,116,286
EDO. FALCON,MP. FALCON,PQ. EL VINCULO,ESCUELA BOLIVARIANA PUERTO ESCONDIDO,N/A,96,85,85,85,0,N/A,1,0,0,1,0,50,34
EDO. FALCON,MP. FALCON,PQ. EL HATO,ESCUELA BOLIVARIANA LA IDEA,N/A,221,210,210,209,1,N/A,1,0,0,0,0,45,164
EDO. FALCON,MP. FALCON,PQ. EL HATO,ESCUELA BASICA BOLIVARIANA BATALLA DE JUNIN,N/A,1414,1096,1096,1086,10,N/A,3,0,0,1,3,298,784
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BASICA YABUQUIVA,N/A,1083,900,900,875,25,N/A,2,0,0,2,6,374,493
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BASICA BOLIVARIANA BARUNU,N/A,554,413,413,409,4,N/A,1,1,0,0,2,94,312
EDO. FALCON,MP. FALCON,PQ. MORUY,CENTRO DE EDUCACION INCIAL SIMONCITO LA BOMBA,N/A,201,189,189,187,2,N/A,1,0,0,0,0,15,172
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BASICA EL MAMONAL NER 150,N/A,180,178,178,174,4,N/A,1,0,1,0,0,91,82
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BASICA BOLIVARIANA GUACUREBO,N/A,316,298,298,290,8,N/A,1,0,0,1,4,45,240
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BASICA BOLIVARIANA MORUY,N/A,2435,2052,2052,2000,52,N/A,5,0,0,0,11,667,1322
