Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,LICEO CREACION LIMONCITO,N/A,1826,1579,1579,1529,50,N/A,4,1,1,0,8,770,749
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA LA MAPORA,N/A,1091,914,914,897,17,N/A,2,1,2,0,4,219,671
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA OCTAVIO PAEZ,N/A,599,506,506,493,13,N/A,1,0,0,0,4,133,356
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA PRIMARIA BOLIVARIANA MANGO REDONDO,N/A,436,378,378,366,12,N/A,1,1,0,0,1,87,277
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA PUERTO ESCONDIDO,N/A,170,155,155,150,5,N/A,1,0,0,1,2,35,112
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA EL RETAZO,N/A,340,275,275,273,2,N/A,1,0,1,0,4,45,223
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA PRIMARIA NACIONAL BOLIVARIANA 24 DE JULIO DE 1783 NATALICIO DEL LIBERTADOR,N/A,997,927,927,905,22,N/A,2,0,0,0,9,210,686
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO MONSEÑOR PADILLA,N/A,458,399,399,392,7,N/A,1,0,0,0,6,123,263
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,UNIDAD SANITARIA CANDIDO DIAZ CARBALLO,N/A,964,800,800,782,18,N/A,2,0,0,1,5,441,335
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,LICEO NACIONAL BOLIVARIANO 24 DE JULIO DE 1783,N/A,1022,941,941,920,21,N/A,2,0,0,0,4,189,727
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA NACIONAL BOLIVARIANA ROMULO GALLEGOS,N/A,2356,1965,1965,1886,79,N/A,4,0,0,0,16,748,1122
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA NACIONAL BOLIVARIANA GENERAL FRANCISCO DE MIRANDA,N/A,603,537,537,529,8,N/A,2,0,0,0,3,128,398
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BOLIVARIANA EL BANCO DE MAPURITE,N/A,381,320,320,316,4,N/A,1,0,0,0,0,84,232
