Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,UNIDAD EDUCATIVA BOLIVARIANA RURAL LA DIOSA DE LOS TACARIGUAS,N/A,732,556,556,539,17,N/A,2,0,0,1,2,141,395
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,MARIA FIDELA CHIRINOS,N/A,2139,1656,1656,1622,34,N/A,4,0,2,1,6,676,937
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BASICA NACIONAL BOLIVARIANA LAS AGUITAS III,N/A,3514,2822,2822,2751,71,N/A,7,1,2,1,14,946,1787
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,LICEO BOLIVARIANO TIERRA DE ARAGUACO,N/A,927,763,763,754,9,N/A,2,0,0,0,6,275,473
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,ESCUELA BOLIVARIANA NACIONAL LA UNIÓN,N/A,611,506,506,498,8,N/A,2,0,0,0,5,93,400
EDO. CARABOBO,MP. LOS GUAYOS,PQ. U LOS GUAYOS,PRE ESCOLAR TACARIGUA I,N/A,1647,1314,1314,1299,15,N/A,3,0,0,1,6,427,865
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,ESCUELA TECNICA AGROPECUARIA CARLOS SANDA,N/A,559,445,445,437,8,N/A,1,1,2,1,1,222,210
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,CENTRO DE EDUCACION INICIAL GUINEO,N/A,48,46,46,46,0,N/A,1,0,0,0,1,8,37
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,JARDIN DE INFANCIA BOLIVARIANO PIMENTEL CORONEL,N/A,291,253,253,249,4,N/A,1,0,0,0,1,112,136
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,ESCUELA BOLIVARIANA VALLE HONDO,N/A,467,336,336,329,7,N/A,1,0,0,1,0,107,221
